Listing Title,Category,City,County,State,Country,Short Description,Full Description,Address,Phone,Email,Website,Price,Schedule / Hours,Senior Discount,Dementia-Friendly?,Caregiver-Friendly?,Wheelchair Accessible?,Transportation Available?,Tags,Slug,Source URL,Last Updated
Everett Council on Aging / Edward G. Connolly Center,Senior Center,Everett,Middlesex County,Massachusetts,USA,"Everett senior center offering health and fitness programs, education, socialization, transportation, meals, and support services for older adults.","The Everett Council on Aging at the Edward G. Connolly Center supports older adults with access to health and fitness programming, educational tools, socialization, transportation, meals, support services, and community connection.","90 Chelsea Street, Everett, MA 02149",617-394-2323,Dale.Palma@ci.everett.ma.us,https://cityofeverett.com/city-hall/board-commissions/council-on-aging/,Not listed,"Monday, 8 a.m.–4 p.m.; Tuesday–Thursday, 8 a.m.–5 p.m.; Friday, 8 a.m.–Noon.",Not listed,Not listed,Not listed,Not listed,Yes,"Everett, senior center, Council on Aging, Connolly Center, older adults, health and fitness, transportation, meals, support services",everett-council-on-aging-edward-g-connolly-center-everett-massachusetts,https://cityofeverett.com/city-hall/board-commissions/council-on-aging/,2026-04-28
Revere Office of Elder Affairs / Rossetti-Cowan Senior Center,Senior Center,Revere,Suffolk County,Massachusetts,USA,"Revere senior center offering elder affairs programs, senior center services, transportation support, and community connection for older adults.","The Revere Office of Elder Affairs at the Rossetti-Cowan Senior Center supports older adults with senior center programs, community services, transportation resources, shuttle van information, social connection, and helpful support for aging residents and families.","25 Winthrop Ave., Revere, MA 02151",781-286-8155 or 781-286-8156,Not listed,https://www.revere.org/departments/elder-affairs,Not listed,"Senior Center Hours: Monday–Thursday, 8:15 a.m.–5 p.m.; Friday, 8:15 a.m.–12:15 p.m. Shuttle Van Service Hours: Monday–Thursday, 9 a.m.–4 p.m.; Friday, 9 a.m.–12 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Revere, senior center, Elder Affairs, Rossetti-Cowan, older adults, transportation, shuttle van, senior services",revere-office-of-elder-affairs-rossetti-cowan-senior-center-revere-massachusetts,https://www.revere.org/departments/elder-affairs,2026-04-28
Braintree Department of Elder Affairs,Senior Center,Braintree,Norfolk County,Massachusetts,USA,"A welcoming place for Braintree seniors to find information, services, activities, support, and community resources.","The Braintree Department of Elder Affairs connects Braintree seniors with services, information, activities, support, and community resources. The department evaluates, promotes, and encourages new and existing activities and services for senior residents and serves as a central hub for questions, concerns, and access to local resources.","71 Cleveland Avenue, Braintree, MA 02184",781-848-1963,Not listed,https://braintreema.gov/154/Elder-Affairs,Not listed,"Monday–Friday, 8:30 AM–4:30 PM",Not listed,Not listed,Not listed,Not listed,Not listed,"Braintree, elder affairs, senior services, community resources, activities, information, support, volunteer information, newsletters",braintree-department-of-elder-affairs-braintree-massachusetts,https://braintreema.gov/154/Elder-Affairs,2026-04-28
Milton Council on Aging,Senior Center,Milton,Norfolk County,Massachusetts,USA,"Milton senior center offering programs, services, activities, information, referrals, wellness classes, and community connection for adults age 60 and older.","The Milton Council on Aging supports residents age 60 and older with programs, services, information, referrals, and community activities. Ongoing groups include coffee hours, cribbage, knitting, mahjong, card games, sketching, tech support, ukulele, and watercolor. Health and wellness offerings include chair yoga, core strength, hiking, line dancing, strength training, tai chi, walking, ZUMBA Gold, and reflexology.","10 Walnut Street, Milton, MA 02186",617-898-4893,Not listed,https://www.miltonma.gov/927/Council-on-Aging,Not listed,"Monday–Thursday, 8 a.m.–5 p.m.; Friday, 8 a.m.–1:30 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Milton, Council on Aging, senior center, chair yoga, tai chi, line dancing, tech support, wellness, transportation",milton-council-on-aging-milton-massachusetts,https://www.miltonma.gov/927/Council-on-Aging,2026-04-28
Wellesley Council on Aging / Tolles Parsons Center,Senior Center,Wellesley,Norfolk County,Massachusetts,USA,"Wellesley senior center offering programs, services, fitness, social support, transportation information, events, and resources for older adults.","The Wellesley Council on Aging at the Tolles Parsons Center supports older adults with programs, services, drop-ins, fitness classes, weekend and evening events, lunch programs, movies, newsletters, social services, transportation information, volunteer opportunities, and information and referrals for elder services.","500 Washington Street, Wellesley, MA 02482",781-235-3961,Not listed,https://www.wellesleyma.gov/1826/Council-on-Aging,Not listed,"Monday–Friday, 9 a.m.–4 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Wellesley, Council on Aging, Tolles Parsons Center, senior center, fitness classes, social services, transportation, events, lunch program, movies",wellesley-council-on-aging-tolles-parsons-center-wellesley-massachusetts,https://www.wellesleyma.gov/1826/Council-on-Aging,2026-04-28
Dedham Council on Aging / Ames Senior Center,Senior Center,Dedham,Norfolk County,Massachusetts,USA,"Dedham senior center offering services, resources, activities, fitness classes, information, and community connection for adults age 55 and older.","The Dedham Council on Aging at the Ames Senior Center supports adults age 55 and older with services, resources, activities, information, fitness opportunities, community programs, and ways to stay involved. Weekly activities include fitness classes such as strength and stretch and Zumba, with current updates available through the center.","450 Washington Street, Dedham, MA 02026",781-751-9495,Not listed,https://www.dedham-ma.gov/town-departments/council-on-aging,Not listed,"Monday–Tuesday, 8:30 a.m.–4:30 p.m.; Wednesday, 8:30 a.m.–7 p.m.; Thursday, 8:30 a.m.–4:30 p.m.; Friday, 8:30 a.m.–1 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Dedham, Council on Aging, Ames Senior Center, senior center, older adults, fitness classes, resources, activities, community programs",dedham-council-on-aging-ames-senior-center-dedham-massachusetts,https://www.dedham-ma.gov/town-departments/council-on-aging,2026-04-28
Norwood Council on Aging / Senior Center,Senior Center,Norwood,Norfolk County,Massachusetts,USA,"Norwood senior center offering legal, financial, recreational, medical, social, exercise, game, art, and bus trip activities for older adults.","The Norwood Council on Aging / Senior Center supports older adults with services, resources, and activities including legal and financial support, recreational programs, medical-related services, contract bridge, whist, cribbage, bingo, Scrabble, exercise classes, oil painting, bus trips, newsletters, and community connection.","275 Prospect St., Norwood, MA 02062",781-762-1201,seniorcenter@norwoodma.gov,https://www.norwoodma.gov/departments/council_on_aging/index.php,Not listed,"Monday–Friday, 8:00 a.m.–4:00 p.m.; Summer hours: Monday, Wednesday, and Thursday, 8:00 a.m.–4:00 p.m.; Tuesday, 8:00 a.m.–7:00 p.m.; Friday, 8:00 a.m.–1:00 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Norwood, Council on Aging, senior center, bingo, exercise classes, oil painting, bus trips, games, senior resources",norwood-council-on-aging-senior-center-norwood-massachusetts,https://www.norwoodma.gov/departments/council_on_aging/index.php,2026-04-28
Salem Council on Aging / Community Life Center,Senior Center,Salem,Essex County,Massachusetts,USA,"Salem senior center offering activities, services, tours, information, social services, newsletters, and community resources for older adults.","The Salem Council on Aging at the Community Life Center supports older adults with senior center activities, services, information, social services, newsletters, community resources, and opportunities to stay active and connected. Residents can call the center to schedule a tour and learn about participation.","401 Bridge Street, Community Life Center, Salem, MA 01970",978-744-0924,Not listed,https://www.salemma.gov/675/Council-on-Aging-Department,Not listed,"Monday, Tuesday, and Thursday, 8 a.m.–7 p.m.; Wednesday and Friday, 8 a.m.–4 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Salem, Council on Aging, Community Life Center, senior center, older adults, social services, newsletters, activities, community resources",salem-council-on-aging-community-life-center-salem-massachusetts,https://www.salemma.gov/675/Council-on-Aging-Department,2026-04-28
Beverly Council on Aging,Senior Center,Beverly,Essex County,Massachusetts,USA,"Beverly senior center offering social services, transportation, education, health, recreation, leisure activities, and resources for adults age 60 and older.","The Beverly Council on Aging supports seniors and families by providing social services, transportation, education, health, recreation, leisure-time activities, and resources that support well-being and independence. The Senior Center is open to adults age 60 and older, including seniors from neighboring towns, with no membership fee.","90 Colon Street, Beverly, MA 01915",978-921-6017,Not listed,https://www.beverlyma.gov/172/Council-on-Aging,Not listed,"Monday–Wednesday, 8 a.m.–4 p.m.; Thursday, 8 a.m.–7 p.m.; Friday, 8 a.m.–1 p.m.",Not listed,Not listed,Yes,Not listed,Yes,"Beverly, Council on Aging, senior center, social services, transportation, education, health, recreation, activities, seniors 60+",beverly-council-on-aging-beverly-massachusetts,https://www.beverlyma.gov/172/Council-on-Aging,2026-04-28
Lynn Elder Services / Lynn Senior Center,Senior Center,Lynn,Essex County,Massachusetts,USA,"Lynn senior center offering senior activities, services, resources, volunteer information, newsletters, and community support for adults age 60 and older.","Lynn Elder Services is responsible for senior activities and overseeing the Lynn Senior Center. The center supports older adults with senior activities, resources, newsletter information, volunteer opportunities, outreach contacts, and community connection for residents age 60 and older.","37 Friend Street, Lynn, MA 01902",781-586-6879 Ext. 6500,Not listed,https://www.lynnma.gov/city_government/departments/elderservices,Not listed,"Monday–Friday, 9 a.m.–3 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Lynn, Elder Services, senior center, older adults, senior activities, newsletter, volunteer, community resources",lynn-elder-services-lynn-senior-center-lynn-massachusetts,https://www.lynnma.gov/city_government/departments/elderservices,2026-04-28
Danvers Council on Aging / Senior & Social Services,Senior Center,Danvers,Essex County,Massachusetts,USA,"Danvers senior center offering health and fitness, nutrition, outreach, transportation, trips, volunteering, and supportive adult day programming for older adults.","The Danvers Council on Aging and Senior Center provide programs and services that enrich the lives of older adults in the Danvers community. Offerings include health and fitness programs, nutritional services, outreach and visitor services, transportation service, day and multi-day trips, volunteer opportunities, and a supportive adult day program.","25 Stone Street, Danvers, MA 01923",978-762-0208,Not listed,https://www.danversma.gov/434/Senior-Social-Services,"Some activities, classes, and meals may have a small cost.","Monday–Friday, 8 a.m.–4 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Danvers, Council on Aging, senior center, health and fitness, nutrition, outreach, transportation, trips, volunteer, adult day program",danvers-council-on-aging-senior-social-services-danvers-massachusetts,https://www.danversma.gov/434/Senior-Social-Services,2026-04-28
Gloucester Council on Aging / Rose Baker Senior Center,Senior Center,Gloucester,Essex County,Massachusetts,USA,"Gloucester senior center offering programs, activities, lunch and food options, health programs, technology instruction, outreach, trips, and social connection for older adults.","The Gloucester Council on Aging at the Rose Baker Senior Center supports older adults with art programs, computer lab and technology instruction, community programs, entertainment, exercise programs, health-related activities, legal, financial and civic services, outreach social work, social and cultural enrichment, tax aide, travel, tours, trips, lunch and food options, and health insurance assistance.","6 Manuel F. Lewis Street, Gloucester, MA 01930",978-325-5800,Not listed,https://gloucester-ma.gov/291/Council-on-Aging,Not listed,"Monday–Friday, 9:00 a.m.–4:00 p.m.; closed holidays.",Yes,Not listed,Not listed,Not listed,Not listed,"Gloucester, Rose Baker Senior Center, Council on Aging, technology instruction, exercise, health programs, outreach, lunch, trips, senior discount",gloucester-council-on-aging-rose-baker-senior-center-gloucester-massachusetts,https://gloucester-ma.gov/291/Council-on-Aging,2026-04-28
North End Senior Programming Coalition,Fitness & Chair Yoga,Boston,Suffolk County,Massachusetts,USA,"Boston North End senior programming group offering chair yoga, games, films, crafts, book club, mahjong, dance fitness, bingo, lunch, music, and social activities.","The North End Senior Programming Coalition helps older adults in Boston’s North End stay informed, active, and connected through local programs and community activities. Ongoing offerings include chair yoga, chess, bridge, crafts, book club, mahjong, Friday films, senior social hour, dance fitness, senior yoga, bingo, lunch programs, music classes, and other community events across North End partner locations.","Multiple North End locations, Boston, MA; North End Branch Library: 25 Parmenter St.; Nazzaro Center: 30 N Bennet St.; ABCD North End & West End: 1 Michelangelo St.; NEMPAC: 50 Tileston St.",North End Branch Library: 617-227-8135; Nazzaro Center: 617-635-5166; ABCD: 617-523-8125; NEMPAC: 857-239-9997,Not listed,https://newhealthcenter.org/north-end-senior-programming-coalition/,Not listed,"Chair Yoga: Fridays, 10:00–11:00 AM; Mahjong: Thursdays, 11:00 AM–1:00 PM; Bridge: Tuesdays, 11:00 AM–1:00 PM; Friday Films: Fridays, 2:00–4:00 PM; Senior Bingo: Tuesdays and Thursdays, 1:00 PM; call individual locations for current schedule.",Not listed,Not listed,Not listed,Not listed,Not listed,"Boston, North End, chair yoga, bingo, mahjong, bridge, chess, senior yoga, dance fitness, films, crafts, book club, lunch, senior activities",north-end-senior-programming-coalition-boston-massachusetts,https://newhealthcenter.org/north-end-senior-programming-coalition/,2026-04-28
